Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
16-JUL-2024,ZOMATO,Zomato Limited,AXIS MUTUAL FUND A/C AXIS FOCUSED 25 FUND,BUY,4400000,226.85
16-JUL-2024,ZOMATO,Zomato Limited,BNP PARIBAS ARBITRAGE,BUY,735000,226.85
16-JUL-2024,ZOMATO,Zomato Limited,CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED (ODI),BUY,1398000,226.85
16-JUL-2024,ZOMATO,Zomato Limited,GOLDMAN SACHS INVESTMENTS (MAURITIUS) I LIMITED  SHORT TERM,BUY,920000,226.85
16-JUL-2024,ZOMATO,Zomato Limited,MATTHEWS ASIA FUNDS PACIFIC TIGER FUND,BUY,90413,226.85
16-JUL-2024,ZOMATO,Zomato Limited,MATTHEWS ASIA INSTITUTIONAL FUNDS LLC ASIA EX CHINA EQUITY SERIES,BUY,26411,226.85
16-JUL-2024,ZOMATO,Zomato Limited,SOCIETE GENERALE,BUY,12769185,226.85
16-JUL-2024,ZOMATO,Zomato Limited,MATTHEWS PACIFIC TIGER FUND,BUY,558514,226.85
16-JUL-2024,ZOMATO,Zomato Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,440998,226.85
16-JUL-2024,ZOMATO,Zomato Limited,MATTHEWS PACIFIC TIGER ACTIVE ETF,BUY,45771,226.85
16-JUL-2024,ZOMATO,Zomato Limited,OPTIMAS GLOBAL ALPHA FUND,BUY,735000,226.85
16-JUL-2024,ZOMATO,Zomato Limited,POLAR CAPITAL FUNDS PLC-GLOBAL TECHNOLOGY FUND,BUY,6350856,226.85
16-JUL-2024,ZOMATO,Zomato Limited,MOTILAL OSWAL MUTUAL FUND,SELL,28470148,226.85
