Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
27-MAY-2024,LUMAXTECH,Lumax Auto Technologies L,AMARA PARTNERS GROWTH FUND I,BUY,606000,478.00
27-MAY-2024,LUMAXTECH,Lumax Auto Technologies L,ALBULA INVESTMENT FUND LTD,SELL,606000,478.00
