Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
19-JUN-2024,ADVENZYMES,Advanced Enzyme Tech Ltd,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,BUY,11053245,385.00
19-JUN-2024,PEL,Piramal Enterprises Ltd.,ANUTHAM REALTY PRIVATE LIMITED,BUY,10840000,900.80
19-JUN-2024,SANSERA,Sansera Engineering Ltd,AXIS MUTUAL FUND,BUY,166670,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,BANDHAN MUTUAL FUND,BUY,24916,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,BANDHAN MUTUAL FUND,BUY,61630,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,AMUNDI FUNDS NEW SILK ROAD,BUY,125003,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,IKIGAI EMERGING EQUITY FUND,BUY,166670,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,DSP MUTUAL FUND,BUY,694051,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,SOCIETE GENERALE,BUY,358343,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,SBI MUTUAL FUND,BUY,364584,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,333343,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,CUSTODY BANK OF JAPAN LTD RE RB AMUNDI INDIA SMALL CAP EQUITY MOTHER FUND,BUY,1093753,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,DSP MUTUAL FUND,BUY,237049,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,DSP MUTUAL FUND,BUY,512630,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,DSP MUTUAL FUND,BUY,639607,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,HDFC STANDARD LIFE INSURANCE CO LTD,BUY,291670,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,BUY,291670,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,KOTAK MAHINDRA MUTUAL FUND,BUY,25001,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,KOTAK MAHINDRA MUTUAL FUND,BUY,100002,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,MATTHEWS INDIA FUND,BUY,208337,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,MIRAE ASSET INDIA SMALL - MID CAP FOCUS EQUITY MASTER INVESTMENT TRUST,BUY,141670,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,MIRAE ASSET MUTUAL FUND,BUY,166670,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,250003,1200.00
19-JUN-2024,ADVENZYMES,Advanced Enzyme Tech Ltd,ORBIMED ASIA III MAURITIUS LIMITED,SELL,11053245,385.00
19-JUN-2024,PEL,Piramal Enterprises Ltd.,THE SRIKRISHNA TRUST,SELL,10840000,900.80
19-JUN-2024,SANSERA,Sansera Engineering Ltd,CVCIGP II EMPLOYEE EBENE LIMITED,SELL,1223267,1200.00
19-JUN-2024,SANSERA,Sansera Engineering Ltd,CLIENT EBENE LIMITED,SELL,5030005,1200.00
