Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
27-JUN-2024,CSBBANK,CSB Bank Limited,ABU DHABI INVESTMENT AUTHORITY - WAY,BUY,1015000,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,WHITEOAK CAPITAL MUTUAL FUND,BUY,566000,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,ASHOKA INDIA EQUITY INVESTMENT TRUST PLC,BUY,231000,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,DSP HIGH CONVICTION FUND SERIES 2,BUY,349725,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,DSP MUTUAL FUND A/C - DSP BANKING AND FINANCIAL SERVICES FUND,BUY,300275,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,EDELWEISS TOKIO LIFE INSURANCE COMPANY LIMITED,BUY,283488,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,AMANSA HOLDINGS PRIVATE LIMITED,BUY,8277500,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,GOLDMAN SACHS INVESTMENTS (MAURITIUS) I LIMITED,BUY,284000,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,ICICI PRUDENTIAL MUTUAL FUND,BUY,1200000,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,INDIA ACORN FUND LTD,BUY,148000,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,INDIA ACORN ICAV - ASHOKA INDIA OPPORTUNITIES FUND,BUY,1606000,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,590831,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,SUNDARAM MUTUAL FUND,BUY,794326,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,THELEME INDIA MASTER FUND LIMITED,BUY,600000,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,UTI MUTUAL FUND,BUY,300000,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,VERITABLE L.P. - VEMF-A LP,BUY,322500,352.75
27-JUN-2024,CSBBANK,CSB Bank Limited,FIH MAURITIUS INVESTMENTS LTD,SELL,16868645,352.75
