Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
10-JUL-2024,MANKIND,Mankind Pharma Limited,AURIGIN MASTER FUND LIMITED,BUY,48032,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,SOCIETE GENERALE,BUY,120078,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED (ODI),BUY,48032,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,CITIGROUP GLOBAL MARKETS MAURITIUS PVT LTD,BUY,96063,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,COPTHALL MAURITIUS INVESTMENT LTD,BUY,48032,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,GHISALLO MASTER FUND LP,BUY,106032,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,GOLDMAN SACHS (SINGAPORE) PTE,BUY,48032,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,BOFA SECURITIES EUROPE SA - ODI,BUY,72048,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,PICTET - INDIAN EQUITIES,BUY,321221,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,PGGM WORLD EQUITY II B.V.,BUY,10585,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,NUVAMA ENHANCED DYNAMIC GROWTH EQUITY (EDGE) FUND,BUY,48031,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,BUY,288631,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL INDIA OPPORTUNITIES FUND,BUY,437238,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL MULTICAP FUND (POWER),BUY,105261,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL PHARMA HEALTHCARE & DIAGNOSTICS FUND,BUY,105261,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,LIC MUTUAL FUND A/C FLEXI CAP FUND 17,BUY,24016,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,LIC MUTUAL FUND A/C LARGE CAP FUND 19,BUY,24016,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,48032,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,288626,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,NATIONAL PENSION SERVICE,BUY,37447,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,PGGM WORLD EQUITY II B.V.,BUY,10585,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,PICTET - INDIAN EQUITIES,BUY,160001,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,SOCIETE GENERALE,BUY,96064,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,VERITION MULTI-STRATEGY MASTER FUND LTD.,BUY,48032,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,FUTURE GENERALI INDIA LIFE INSURANCE COMPANY LIMITED,BUY,48031,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,GHISALLO MASTER FUND LP,BUY,48031,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,GOLDMAN SACHS INVESTMENTS (MAURITIUS) I LIMITED,BUY,96062,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,ICICI PRUDENTIAL MUTUAL FUND,BUY,362331,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,INTERNATIONAL OPPORTUNITIES FUNDS INDIA EQUITY,BUY,85700,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,48031,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,336672,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,NATIONAL PENSION SERVICE,BUY,37446,2082.00
10-JUL-2024,NYKAA,FSN E Commerce Ventures,ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL TECHNOLOGY FUND,BUY,1687099,174.04
10-JUL-2024,NYKAA,FSN E Commerce Ventures,ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL INDIA OPPORTUNITIES FUND,BUY,13046901,174.04
10-JUL-2024,MANKIND,Mankind Pharma Limited,HEMA CIPEF (I) LIMITED,SELL,1850850,2082.00
10-JUL-2024,MANKIND,Mankind Pharma Limited,HEMA CIPEF (I) LIMITED,SELL,1850850,2082.00
10-JUL-2024,NYKAA,FSN E Commerce Ventures,CANADA PENSION PLAN INVESTMENT BOARD,SELL,14734000,174.04
