Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
15-JUL-2024,5PAISA,5paisa Capital Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,226424,527.50,-
15-JUL-2024,ACSAL,Arvind and Company,DEEPAK DHANJI PATEL,BUY,117000,85.96,-
15-JUL-2024,ACSAL,Arvind and Company,SALASAR AGENCIES,BUY,63000,87.20,-
15-JUL-2024,AMBEY,Ambey Laboratories Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,BUY,48000,89.15,-
15-JUL-2024,AWHCL,Antony Waste Hdg Cell Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,143270,604.66,-
15-JUL-2024,BAIDFIN,Baid Finserv Limited,GADA SNEH HIRJI,BUY,650000,18.71,-
15-JUL-2024,BIRLACABLE,Birla Cable Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,233992,274.11,-
15-JUL-2024,CIGNITITEC,Cigniti Technologies Ltd,ASHIKA CREDIT CAPITAL LIMITED,BUY,157635,1359.45,-
15-JUL-2024,CMMIPL,CMM Infraprojects Limited,AKKALANENI MANIKANTA,BUY,81000,2.38,-
15-JUL-2024,CYBERTECH,Cybertech Systems & Softw,GRAVITON RESEARCH CAPITAL LLP,BUY,224167,195.11,-
15-JUL-2024,DEVIT,Dev Info Technology Ltd,YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .,BUY,177505,145.23,-
15-JUL-2024,DEVIT,Dev Info Technology Ltd,AMRITA CHAKRABORTY,BUY,139000,140.37,-
15-JUL-2024,ERIS,Eris Lifesciences Limited,FRANKLIN TEMPLETON MUTUAL FUND,BUY,1094201,1000.04,-
15-JUL-2024,GEOJITFSL,Geojit Fin Serv Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,1771690,115.45,-
15-JUL-2024,GGBL,Ganesh Green Bharat Ltd,CAMELLIA TRADEX PRIVATE LIMITED,BUY,141600,398.00,-
15-JUL-2024,GRETEX,Gretex Industries Ltd.,PRADEEP MERTIA,BUY,249000,127.27,-
15-JUL-2024,HARIOMPIPE,Hariom Pipe Industries L,GRAVITON RESEARCH CAPITAL LLP,BUY,157676,689.36,-
15-JUL-2024,HBLPOWER,HBL Power Systems Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,1591221,623.32,-
15-JUL-2024,HITECH,Hi-Tech Pipes Limited,RAKESH RAJKRISHAN AGARWAL,BUY,756657,147.20,-
15-JUL-2024,IFCI,IFCI Ltd.,GRAVITON RESEARCH CAPITAL LLP,BUY,15536873,76.03,-
15-JUL-2024,IFCI,IFCI Ltd.,HRTI PRIVATE LIMITED,BUY,13135575,76.07,-
15-JUL-2024,INVENT-RE,Inventure Gro & Sec Ltd,AJAY KUMAR PANDEY,BUY,1225498,0.38,-
15-JUL-2024,JKTYRE,JK Tyre & Industries Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,1565208,490.24,-
15-JUL-2024,KAMOPAINTS,Kamdhenu Ventures Limited,HJS SECURITIES PRIVATE LIMITED,BUY,2084242,40.01,-
15-JUL-2024,KAMOPAINTS,Kamdhenu Ventures Limited,MINERVA VENTURES FUND,BUY,5000000,40.00,-
15-JUL-2024,KELLTONTEC,Kellton Tech Sol Ltd,AAKRAYA RESEARCH LLP,BUY,766195,175.07,-
15-JUL-2024,KELLTONTEC,Kellton Tech Sol Ltd,BOFA SECURITIES EUROPE SA,BUY,637919,175.91,-
15-JUL-2024,KELLTONTEC,Kellton Tech Sol Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,567515,174.25,-
15-JUL-2024,KELLTONTEC,Kellton Tech Sol Ltd,HRTI PRIVATE LIMITED,BUY,524577,175.59,-
15-JUL-2024,MASON,Mason Infratech Limited,PARTH INFIN BROKERS PVT LTD,BUY,260000,141.68,-
15-JUL-2024,MASON,Mason Infratech Limited,MANSI SHARE AND STOCK ADVISORS PVT LTD,BUY,164000,146.68,-
15-JUL-2024,MOS,Mos Utility Limited,SMITAL SURESH THAKKAR,BUY,139200,203.05,-
15-JUL-2024,MTNL,Maha Tel Nigam Ltd.,KAMLESH BABALAL SHAH,BUY,798085,48.26,-
15-JUL-2024,MTNL,Maha Tel Nigam Ltd.,HRTI PRIVATE LIMITED,BUY,7165283,49.73,-
15-JUL-2024,MTNL,Maha Tel Nigam Ltd.,CLT RESEARCH TECH PRIVATE LTD,BUY,2078756,50.16,-
15-JUL-2024,MTNL,Maha Tel Nigam Ltd.,GRAVITON RESEARCH CAPITAL LLP,BUY,7123017,49.72,-
15-JUL-2024,MTNL,Maha Tel Nigam Ltd.,QE SECURITIES LLP,BUY,3811418,49.59,-
15-JUL-2024,MUKKA,Mukka Proteins Limited,HRTI PRIVATE LIMITED,BUY,2417744,43.63,-
15-JUL-2024,MUKKA,Mukka Proteins Limited,QE SECURITIES LLP,BUY,1487734,44.36,-
15-JUL-2024,MUKKA,Mukka Proteins Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,2460805,43.09,-
15-JUL-2024,NANDANI-RE,Nandani Creation Ltd,PRAVEEN KUMAR AGNIHOTRI,BUY,30550,7.72,-
15-JUL-2024,NDL,Nandan Denim Limited,TRAPAL TRADING PRIVATE LIMITED,BUY,1872908,48.01,-
15-JUL-2024,OCCL,Oriental Carbn & Chem Ltd,STOCKFLAIR,BUY,65000,300.05,-
15-JUL-2024,OCCL,Oriental Carbn & Chem Ltd,INDRA KIRAN VENTURES,BUY,74312,299.62,-
15-JUL-2024,OCCL,Oriental Carbn & Chem Ltd,MANSI SHARE AND STOCK ADVISORS PVT LTD,BUY,81823,300.05,-
15-JUL-2024,OCCL,Oriental Carbn & Chem Ltd,SETU SECURITIES PVT LTD,BUY,91735,299.91,-
15-JUL-2024,OCCL,Oriental Carbn & Chem Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,BUY,95000,299.89,-
15-JUL-2024,OCCL,Oriental Carbn & Chem Ltd,LIESHA CORPORATION PRIVATE LIMITED .,BUY,15004,297.92,-
15-JUL-2024,ONMOBILE,OnMobile Global Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,661827,78.56,-
15-JUL-2024,PGIL,House of Pearl Fashions L,HDFC MUTUAL FUND,BUY,242605,731.00,-
15-JUL-2024,PILITA,PIL Italica Lifestyle Ltd,HEMALI PATHIK THAKKAR,BUY,1708211,14.72,-
15-JUL-2024,PILITA,PIL Italica Lifestyle Ltd,HJS SECURITIES PRIVATE LIMITED,BUY,1602706,14.13,-
15-JUL-2024,PILITA,PIL Italica Lifestyle Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,BUY,1300000,14.88,-
