Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
24-APR-2024,DELHIVERY,Delhivery Limited,AMERICAN FUND INSURANCE A/C AMERICAN INSURANCE SERIES GLOBAL SMALL CAPITALISATION FUND,BUY,2110711,444.30
24-APR-2024,DELHIVERY,Delhivery Limited,FIDELITY MGT AND RESEARCH CO. A/C FIDELITY ADVISOR SERIES VIII : FIDELITY ADVISOR EMERGING ASIA FUND,BUY,118800,444.30
24-APR-2024,DELHIVERY,Delhivery Limited,FIDELITY INTERNATIONAL DISCOVERY COMMINGLED POOL,BUY,227800,444.30
24-APR-2024,DELHIVERY,Delhivery Limited,FIDELITY INVESTMENT TRUST A/C. FIDELITY SOUTHEAST ASIA FUND   F351,BUY,282700,444.30
24-APR-2024,DELHIVERY,Delhivery Limited,FIDELITY INVESTMENT TRUST FIDELITY INTERNATIONAL DISCOVERY K6 FUND,BUY,203400,444.30
24-APR-2024,DELHIVERY,Delhivery Limited,FIDELITY MANAGEMENT  AND RESEARCH CO. A/C FIDELITY FAR EAST FUND,BUY,73900,444.30
24-APR-2024,DELHIVERY,Delhivery Limited,FIDELITY MANAGEMENT AND RESEARCH CO A/C FIDELITY INVESTMENT TRUST FIDELITY INT DISCOVERY FUND,BUY,2843400,444.30
24-APR-2024,DELHIVERY,Delhivery Limited,THE MASTER TRUST BANKER JAPAN LTD A/C HSBC INDIAN EQUITY  MOTHER FUND (HK0991950),BUY,148566,444.30
24-APR-2024,DELHIVERY,Delhivery Limited,HSBC COLLECTIVE INVESTMENT TRUST  HSBC INDIA MULTI INCOME FUND,BUY,4769,444.30
24-APR-2024,DELHIVERY,Delhivery Limited,HSBC GLOBAL INVESTMENT FUNDS INDIAN EQUITY,BUY,174693,444.30
24-APR-2024,DELHIVERY,Delhivery Limited,HSBC INDIA INFRASTRUCTURE EQUITY MOTHER FUND  (HSBC GLOBAL) (HK1018480),BUY,378762,444.30
24-APR-2024,DELHIVERY,Delhivery Limited,HSBC INDIAN EQUITY FUND (HSBC GLOBAL ) (SG1020932/CANADA),BUY,2623,444.30
24-APR-2024,DELHIVERY,Delhivery Limited,HSBC INDIEN,BUY,60587,444.30
24-APR-2024,DELHIVERY,Delhivery Limited,SMALLER CAP WORLD FUND INC (35 SCWF/000035),BUY,13819289,444.30
24-APR-2024,DELHIVERY,Delhivery Limited,CANADA PENSION PLAN INVESTMENT BOARD,SELL,20450000,444.30
