Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
29-JUL-2024,INDHOTEL,Indian Hotels Co. Ltd.,SIDDHARTHA YOG,BUY,321741,645.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,SOCIETE GENERALE,BUY,260949,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,MORGAN STANLEY ASIA (SINGAPORE) PTE.,BUY,356188,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,TARA EMERGING ASIA LIQUID FUND,BUY,260949,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,1377180,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,ASTORNE CAPITAL VCC   ARVEN,BUY,89048,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,AXIS BALANCED ADVANTAGE FUND,BUY,13357,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,AXIS BUSINESS CYCLES FUND,BUY,89047,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,AXIS CHILDREN S GIFT FUND,BUY,35619,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,AXIS EQUITY HYBRID FUND,BUY,66785,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,AXIS GROWTH OPPORTUNITIES FUND,BUY,356189,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,AXIS INDIA MANUFACTURING FUND,BUY,267141,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,AXIS MIDCAP FUND,BUY,943901,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,AXIS MULTICAP FUND,BUY,267141,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,AXIS RETIREMENT SAVINGS FUND AGGRESSIVE PLAN,BUY,35619,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,AXIS RETIREMENT SAVINGS FUND DYNAMIC PLAN,BUY,17809,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,AXIS SPECIAL SITUATIONS FUND,BUY,133571,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,EDELWEISS BALANCE ADVANTAGE FUND,BUY,445235,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,FLORIDA RETIREMENT SYSTEM,BUY,267141,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,HSBC LARGE AND MID CAP EQUITY FUND,BUY,176000,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,HSBC MULTI ASSET ALLOCATION FUND,BUY,88000,1123.00
29-JUL-2024,INDHOTEL,Indian Hotels Co. Ltd.,DODONA HOLDINGS LIMITED,SELL,321741,645.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,VIJAY MOHANLAL PAREKH,SELL,2576177,1123.00
29-JUL-2024,JYOTICNC,Jyoti CNC Automation Ltd,PARESH MOHANLAL PAREKH,SELL,2970692,1123.00
