Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
23-MAY-2024,INTLCONV,Intl Conveyors Limited,I G E (INDIA) PRIVATE LIMITED,BUY,2730000,84.10
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,ADITYA BIRLA SUN LIFE MUTUAL FUND,BUY,2800000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,PLUTUS WEALTH MANAGEMENT LLP,BUY,3000000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,3P INDIA EQUITY FUND 1,BUY,1490000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,UTI MUTUAL FUND,BUY,187000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,STEINBERG INDIA EMERGING OPPORTUNITIES FUND LTD,BUY,850000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,SOCIETE GENERALE,BUY,500000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,QUEST SMART ALPHA - SECTOR ROTATION,BUY,367000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,BNP PARIBAS ARBITRAGE,BUY,650000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,CHANAKYA WEALTH CREATION FUND,BUY,187000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LTD,BUY,465000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,CLARUS CAPITAL 1,BUY,250000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,EAST BRIDGE CAPITAL MASTER FUND I LTD,BUY,5500000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,EMERGE CAPITAL OPPORTUNITIES SCHEME,BUY,200000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,GOLDMAN SACHS (SINGAPORE) PTE,BUY,343120,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,GOLDMAN SACHS INVESTMENTS MAURITIUS I LIMITED,BUY,650000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,HDFC MUTUAL FUND,BUY,5608000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD.,BUY,11700000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,1439485,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,2918134,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,PLUTUS WEALTH MANAGEMENT LLP,BUY,2000000,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,QUEST INVESTMENT ADVISORS PRIVATE LIMITED,BUY,213627,535.00
23-MAY-2024,INTLCONV,Intl Conveyors Limited,SURBHIT DABRIWALA,SELL,2730000,84.10
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,MIO STAR,SELL,6134978,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,MIO IV STAR,SELL,14017112,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,ROC STAR INVESTMENT TRUST,SELL,5908142,535.00
23-MAY-2024,STARHEALTH,Star Health & Al Ins Co L,APIS GROWTH 6 LTD,SELL,15258134,535.00
